Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,Class
"14.516,00","492,79","209,76","89,51","0,90","14.836,00","0,73",Cammeo
"13.470,00","471,19","200,50","86,78","0,90","13.729,00","0,58",Cammeo
"14.617,00","495,45","207,32","90,71","0,90","14.950,00","0,64",Cammeo
"14.359,00","506,09","223,26","82,48","0,93","14.698,00","0,54",Cammeo
"14.204,00","489,45","211,88","85,95","0,91","14.487,00","0,69",Cammeo
"14.440,00","498,12","210,27","88,99","0,91","14.918,00","0,78",Cammeo
"13.921,00","486,39","203,18","88,84","0,90","14.334,00","0,58",Cammeo
"14.054,00","486,77","207,58","87,13","0,91","14.343,00","0,79",Cammeo
"13.039,00","476,70","198,90","85,53","0,90","13.383,00","0,55",Cammeo
"13.350,00","466,62","196,51","87,16","0,90","13.562,00","0,80",Cammeo
"14.850,00","498,44","213,76","88,99","0,91","15.071,00","0,70",Cammeo
"11.836,00","456,38","201,87","75,46","0,93","12.084,00","0,75",Cammeo
"13.333,00","472,38","200,94","85,17","0,91","13.585,00","0,68",Cammeo
"13.062,00","467,46","197,80","85,40","0,90","13.272,00","0,62",Cammeo
"12.886,00","463,90","193,88","85,48","0,90","13.196,00","0,60",Cammeo
"13.437,00","476,11","202,82","85,11","0,91","13.700,00","0,78",Cammeo
"11.963,00","448,43","191,08","80,81","0,91","12.205,00","0,76",Cammeo
"12.213,00","459,17","195,59","80,64","0,91","12.571,00","0,54",Cammeo
"13.970,00","481,88","201,47","89,50","0,90","14.310,00","0,57",Cammeo
"14.511,00","510,29","216,35","87,13","0,92","14.957,00","0,53",Cammeo
"14.055,00","488,75","207,75","87,25","0,91","14.484,00","0,55",Cammeo
"16.188,00","526,88","224,04","93,18","0,91","16.605,00","0,66",Cammeo
"13.064,00","469,84","199,56","84,36","0,91","13.382,00","0,66",Cammeo
"14.161,00","488,69","206,51","87,97","0,90","14.428,00","0,59",Cammeo
"13.806,00","494,03","212,39","83,93","0,92","14.247,00","0,53",Cammeo
"13.623,00","493,57","211,73","82,92","0,92","14.065,00","0,53",Cammeo
"15.238,00","506,11","218,36","89,62","0,91","15.529,00","0,55",Cammeo
"13.688,00","481,31","204,31","86,38","0,91","14.024,00","0,79",Cammeo
"14.520,00","496,02","208,43","90,75","0,90","14.930,00","0,59",Cammeo
"13.263,00","480,19","205,58","83,14","0,91","13.517,00","0,68",Cammeo
"16.602,00","528,35","224,42","95,47","0,90","16.900,00","0,57",Cammeo
"14.525,00","487,22","206,45","90,84","0,90","14.798,00","0,59",Cammeo
"12.344,00","466,84","204,11","77,81","0,92","12.596,00","0,72",Cammeo
"14.002,00","490,57","209,33","86,15","0,91","14.336,00","0,66",Cammeo
"12.267,00","454,02","190,67","83,02","0,90","12.673,00","0,65",Cammeo
"15.093,00","509,30","214,43","90,88","0,91","15.497,00","0,57",Cammeo
"12.789,00","454,39","183,62","89,72","0,87","13.114,00","0,70",Cammeo
"12.767,00","463,84","196,19","83,97","0,90","13.104,00","0,61",Cammeo
"12.079,00","445,99","190,67","81,13","0,90","12.462,00","0,64",Cammeo
"14.868,00","510,43","219,33","88,04","0,92","15.190,00","0,80",Cammeo
"14.531,00","492,96","207,62","90,52","0,90","14.913,00","0,57",Cammeo
"13.657,00","481,62","207,01","84,52","0,91","13.872,00","0,57",Cammeo
"12.692,00","465,17","193,21","85,29","0,90","13.118,00","0,71",Cammeo
"12.465,00","462,62","196,45","82,09","0,91","12.794,00","0,73",Cammeo
"15.032,00","500,61","209,92","91,93","0,90","15.397,00","0,72",Cammeo
"13.493,00","480,53","205,57","84,68","0,91","13.843,00","0,80",Cammeo
"14.729,00","496,94","209,52","90,89","0,90","15.131,00","0,61",Cammeo
"14.242,00","495,74","210,68","87,43","0,91","14.549,00","0,64",Cammeo
"13.215,00","479,61","207,89","81,68","0,92","13.462,00","0,54",Cammeo
"15.568,00","519,46","222,23","90,82","0,91","15.984,00","0,78",Cammeo
"11.332,00","449,26","194,78","75,37","0,92","11.671,00","0,67",Cammeo
"13.198,00","468,46","200,49","84,69","0,91","13.455,00","0,73",Cammeo
"12.442,00","459,54","187,51","87,19","0,89","12.941,00","0,59",Cammeo
"14.509,00","496,07","211,14","88,72","0,91","14.836,00","0,56",Cammeo
"16.051,00","516,17","214,88","96,85","0,89","16.479,00","0,68",Cammeo
"14.132,00","482,37","205,20","88,30","0,90","14.341,00","0,59",Cammeo
"14.806,00","498,63","214,39","88,98","0,91","15.078,00","0,78",Cammeo
"13.662,00","476,35","204,19","85,61","0,91","13.894,00","0,67",Cammeo
"16.500,00","523,35","219,72","97,14","0,90","16.880,00","0,63",Cammeo
"11.702,00","432,77","177,72","84,66","0,88","11.975,00","0,60",Cammeo
"13.050,00","467,52","194,90","86,95","0,89","13.389,00","0,62",Cammeo
"15.154,00","504,93","211,23","92,51","0,90","15.598,00","0,58",Cammeo
"14.340,00","477,90","196,48","94,26","0,88","14.700,00","0,61",Cammeo
"13.451,00","485,56","205,95","84,32","0,91","13.862,00","0,60",Cammeo
"13.959,00","477,26","200,49","89,46","0,89","14.242,00","0,72",Cammeo
"13.491,00","475,35","198,66","87,65","0,90","13.812,00","0,70",Cammeo
"13.621,00","478,75","200,04","88,06","0,90","14.068,00","0,62",Cammeo
"16.413,00","510,11","210,56","100,12","0,88","16.665,00","0,60",Cammeo
"13.924,00","498,56","212,06","84,91","0,92","14.444,00","0,55",Cammeo
"13.289,00","467,32","194,88","87,81","0,89","13.628,00","0,70",Cammeo
"14.403,00","491,06","207,68","89,84","0,90","14.708,00","0,60",Cammeo
"13.764,00","479,48","199,30","89,99","0,89","14.167,00","0,78",Cammeo
"14.972,00","501,87","208,84","92,89","0,90","15.476,00","0,73",Cammeo
"15.135,00","506,43","208,72","93,82","0,89","15.656,00","0,57",Cammeo
"13.484,00","468,87","195,42","88,78","0,89","13.786,00","0,72",Cammeo
"11.815,00","456,60","200,11","75,79","0,93","12.108,00","0,73",Cammeo
"14.434,00","488,29","201,65","92,53","0,89","14.826,00","0,71",Cammeo
"15.389,00","521,30","226,96","87,39","0,92","15.753,00","0,57",Cammeo
"14.434,00","477,62","200,39","92,38","0,89","14.660,00","0,78",Cammeo
"13.933,00","483,93","207,21","86,30","0,91","14.238,00","0,59",Cammeo
"14.404,00","486,48","206,78","89,47","0,90","14.658,00","0,79",Cammeo
"14.038,00","496,61","211,56","86,05","0,91","14.389,00","0,54",Cammeo
"14.759,00","483,27","203,97","92,55","0,89","15.002,00","0,79",Cammeo
"13.429,00","491,38","208,91","83,84","0,92","13.837,00","0,53",Cammeo
"14.560,00","493,93","209,51","89,22","0,90","14.971,00","0,63",Cammeo
"14.623,00","499,31","208,23","91,47","0,90","15.085,00","0,58",Cammeo
"14.461,00","483,57","202,35","91,65","0,89","14.718,00","0,75",Cammeo
"15.126,00","500,11","209,17","93,81","0,89","15.496,00","0,71",Cammeo
"15.594,00","515,66","216,53","93,28","0,90","16.029,00","0,67",Cammeo
"13.887,00","483,17","203,42","88,12","0,90","14.240,00","0,68",Cammeo
"15.241,00","511,06","215,37","91,27","0,91","15.604,00","0,54",Cammeo
"14.101,00","479,32","199,09","90,98","0,89","14.383,00","0,62",Cammeo
"15.026,00","504,47","212,48","91,13","0,90","15.285,00","0,72",Cammeo
"13.467,00","478,25","204,72","85,15","0,91","13.732,00","0,55",Cammeo
"13.871,00","496,58","212,57","83,77","0,92","14.344,00","0,53",Cammeo
"15.830,00","516,23","220,82","92,34","0,91","16.074,00","0,70",Cammeo
"14.621,00","501,83","210,92","89,63","0,91","15.175,00","0,69",Cammeo
"13.855,00","487,83","207,11","86,02","0,91","14.214,00","0,55",Cammeo
"11.783,00","453,11","192,68","79,17","0,91","12.102,00","0,67",Cammeo
"11.739,00","448,61","187,69","80,85","0,90","12.118,00","0,55",Cammeo
"11.538,00","446,86","189,69","78,97","0,91","11.852,00","0,58",Cammeo
"13.244,00","461,94","194,18","87,82","0,89","13.476,00","0,71",Cammeo
"13.820,00","489,94","207,00","86,24","0,91","14.195,00","0,64",Cammeo
"12.950,00","464,89","194,43","85,82","0,90","13.288,00","0,60",Cammeo
"15.600,00","502,84","205,28","99,05","0,88","16.130,00","0,72",Cammeo
"13.121,00","475,91","202,69","83,13","0,91","13.439,00","0,57",Cammeo
"14.586,00","489,54","206,60","91,26","0,90","14.897,00","0,80",Cammeo
"13.450,00","465,40","193,37","89,51","0,89","13.661,00","0,62",Cammeo
"14.251,00","492,03","202,85","91,01","0,89","14.658,00","0,56",Cammeo
"15.161,00","498,79","208,25","93,86","0,89","15.541,00","0,64",Cammeo
"13.476,00","478,28","199,02","87,93","0,90","13.931,00","0,60",Cammeo
"14.423,00","507,08","221,53","83,91","0,93","14.703,00","0,54",Cammeo
"13.580,00","464,36","190,38","91,37","0,88","13.781,00","0,63",Cammeo
"12.974,00","469,27","197,63","84,73","0,90","13.219,00","0,69",Cammeo
"11.995,00","477,41","216,49","70,77","0,95","12.168,00","0,67",Cammeo
"14.244,00","488,07","199,90","92,32","0,89","14.691,00","0,62",Cammeo
"12.844,00","454,84","191,98","85,42","0,90","13.043,00","0,62",Cammeo
"13.424,00","481,17","195,90","89,31","0,89","13.950,00","0,66",Cammeo
"14.035,00","480,63","199,15","91,41","0,89","14.422,00","0,72",Cammeo
"14.162,00","480,25","202,90","89,49","0,90","14.414,00","0,58",Cammeo
"14.143,00","481,91","199,99","91,09","0,89","14.450,00","0,58",Cammeo
"14.272,00","487,70","207,80","88,07","0,91","14.510,00","0,58",Cammeo
"14.205,00","487,35","204,33","89,63","0,90","14.637,00","0,77",Cammeo
"13.226,00","480,16","202,75","84,34","0,91","13.617,00","0,71",Cammeo
"14.399,00","492,34","210,14","88,10","0,91","14.636,00","0,55",Cammeo
"14.561,00","493,53","208,69","89,71","0,90","14.986,00","0,77",Cammeo
"12.968,00","469,34","199,91","83,04","0,91","13.243,00","0,64",Cammeo
"12.029,00","441,74","181,80","85,42","0,88","12.275,00","0,60",Cammeo
"13.450,00","470,98","200,61","85,93","0,90","13.728,00","0,56",Cammeo
"15.809,00","521,50","224,52","90,61","0,91","16.150,00","0,56",Cammeo
"13.205,00","475,60","197,55","86,34","0,90","13.607,00","0,69",Cammeo
"14.031,00","494,27","213,71","84,47","0,92","14.265,00","0,74",Cammeo
"15.811,00","514,38","218,73","93,16","0,90","16.135,00","0,82",Cammeo
"14.693,00","484,56","199,62","94,81","0,88","15.034,00","0,61",Cammeo
"15.209,00","517,69","221,25","89,18","0,92","15.653,00","0,64",Cammeo
"13.468,00","475,40","199,75","87,04","0,90","13.817,00","0,57",Cammeo
"16.505,00","516,22","212,85","99,69","0,88","16.820,00","0,59",Cammeo
"12.422,00","482,20","209,21","76,84","0,93","12.783,00","0,50",Cammeo
"14.316,00","488,99","204,42","90,15","0,90","14.731,00","0,56",Cammeo
"14.839,00","504,08","211,37","91,35","0,90","15.274,00","0,63",Cammeo
"13.269,00","470,64","197,38","86,43","0,90","13.626,00","0,57",Cammeo
"13.913,00","474,45","199,12","89,72","0,89","14.164,00","0,67",Cammeo
"12.411,00","466,03","204,51","78,30","0,92","12.707,00","0,53",Cammeo
"12.602,00","465,92","194,46","84,83","0,90","13.039,00","0,65",Cammeo
"12.820,00","467,35","197,34","83,97","0,90","13.104,00","0,56",Cammeo
"15.087,00","510,61","218,17","89,15","0,91","15.506,00","0,55",Cammeo
"11.161,00","433,83","182,07","78,95","0,90","11.490,00","0,61",Cammeo
"16.037,00","523,91","223,02","92,55","0,91","16.404,00","0,80",Cammeo
"15.809,00","517,23","222,42","91,56","0,91","16.025,00","0,56",Cammeo
"11.803,00","463,81","201,65","76,42","0,93","12.138,00","0,55",Cammeo
"14.620,00","493,94","212,27","88,77","0,91","14.931,00","0,72",Cammeo
"15.936,00","522,77","224,62","91,12","0,91","16.298,00","0,61",Cammeo
"15.557,00","514,54","214,08","93,85","0,90","15.942,00","0,70",Cammeo
"15.042,00","504,72","214,52","90,21","0,91","15.375,00","0,70",Cammeo
"12.861,00","455,87","191,82","86,30","0,89","13.058,00","0,59",Cammeo
"13.877,00","489,62","205,15","86,94","0,91","14.176,00","0,56",Cammeo
"13.503,00","477,24","201,17","87,36","0,90","13.743,00","0,56",Cammeo
"14.254,00","491,26","207,77","88,61","0,90","14.607,00","0,57",Cammeo
"14.061,00","470,75","190,29","95,01","0,87","14.347,00","0,62",Cammeo
"15.311,00","507,99","215,14","91,62","0,90","15.690,00","0,70",Cammeo
"14.227,00","490,50","206,49","88,69","0,90","14.529,00","0,69",Cammeo
"13.867,00","494,65","213,12","84,21","0,92","14.200,00","0,53",Cammeo
"13.639,00","482,42","200,74","87,73","0,90","14.042,00","0,73",Cammeo
"14.998,00","496,90","215,95","89,40","0,91","15.279,00","0,82",Cammeo
"16.005,00","518,89","221,22","93,13","0,91","16.343,00","0,55",Cammeo
"12.536,00","475,15","205,77","78,26","0,92","12.798,00","0,69",Cammeo
"14.268,00","485,63","202,25","91,05","0,89","14.586,00","0,62",Cammeo
"15.290,00","501,06","209,37","94,17","0,89","15.582,00","0,76",Cammeo
"15.373,00","522,21","229,49","86,34","0,93","15.757,00","0,67",Cammeo
"15.609,00","492,66","202,23","99,01","0,87","15.884,00","0,68",Cammeo
"15.256,00","495,77","209,62","93,42","0,90","15.449,00","0,57",Cammeo
"16.625,00","535,99","229,79","93,09","0,91","16.951,00","0,65",Cammeo
"14.817,00","502,64","214,59","89,05","0,91","15.275,00","0,80",Cammeo
"14.198,00","485,90","205,10","89,32","0,90","14.414,00","0,57",Cammeo
"14.825,00","499,94","210,27","91,82","0,90","15.274,00","0,77",Cammeo
"14.470,00","489,79","207,36","89,81","0,90","14.724,00","0,62",Cammeo
"12.279,00","462,01","197,85","80,54","0,91","12.619,00","0,64",Cammeo
"14.828,00","494,26","209,66","90,80","0,90","15.038,00","0,57",Cammeo
"13.858,00","475,37","201,44","87,92","0,90","14.083,00","0,78",Cammeo
"17.437,00","536,90","230,26","97,31","0,91","17.650,00","0,76",Cammeo
"15.265,00","505,10","211,44","93,12","0,90","15.639,00","0,74",Cammeo
"14.953,00","503,75","217,10","88,61","0,91","15.229,00","0,72",Cammeo
"12.243,00","449,62","191,08","82,64","0,90","12.464,00","0,80",Cammeo
"16.453,00","523,87","222,31","96,18","0,90","16.803,00","0,75",Cammeo
"16.386,00","515,10","208,95","100,74","0,88","16.813,00","0,61",Cammeo
"14.204,00","482,17","201,07","91,09","0,89","14.523,00","0,62",Cammeo
"13.589,00","483,88","205,35","85,41","0,91","13.883,00","0,55",Cammeo
"14.439,00","492,55","211,85","87,43","0,91","14.614,00","0,57",Cammeo
"13.982,00","495,34","214,17","84,78","0,92","14.298,00","0,78",Cammeo
"14.410,00","477,66","197,18","93,66","0,88","14.645,00","0,66",Cammeo
"12.244,00","455,27","192,51","81,43","0,91","12.480,00","0,58",Cammeo
"14.070,00","484,22","203,28","89,09","0,90","14.448,00","0,57",Cammeo
"14.687,00","498,39","210,58","90,30","0,90","14.977,00","0,57",Cammeo
"11.735,00","453,52","194,10","78,02","0,92","11.956,00","0,72",Cammeo
"12.835,00","481,50","212,54","77,45","0,93","13.055,00","0,51",Cammeo
"14.853,00","488,56","201,56","95,47","0,88","15.224,00","0,68",Cammeo
"15.061,00","497,36","207,65","93,06","0,89","15.327,00","0,72",Cammeo
"13.385,00","460,83","192,65","89,71","0,88","13.595,00","0,61",Cammeo
"12.555,00","444,58","184,83","87,37","0,88","12.773,00","0,65",Cammeo
"16.067,00","526,42","228,94","90,15","0,92","16.370,00","0,56",Cammeo
"15.105,00","503,29","215,58","89,80","0,91","15.327,00","0,60",Cammeo
"13.434,00","455,82","184,17","93,38","0,86","13.686,00","0,64",Cammeo
"14.961,00","502,91","215,19","89,23","0,91","15.218,00","0,68",Cammeo
"12.429,00","469,61","202,41","78,89","0,92","12.714,00","0,56",Cammeo
"13.002,00","460,13","191,42","87,77","0,89","13.325,00","0,68",Cammeo
"15.147,00","510,02","213,16","91,69","0,90","15.719,00","0,59",Cammeo
"15.055,00","508,28","218,98","88,49","0,91","15.361,00","0,69",Cammeo
"13.540,00","458,53","189,11","92,39","0,87","13.710,00","0,80",Cammeo
"11.962,00","449,44","192,09","80,96","0,91","12.171,00","0,54",Cammeo
"12.692,00","443,14","182,93","88,95","0,87","12.849,00","0,64",Cammeo
"11.859,00","444,80","183,55","83,57","0,89","12.213,00","0,76",Cammeo
"13.627,00","476,99","201,19","86,95","0,90","13.926,00","0,78",Cammeo
"13.982,00","479,79","204,54","88,28","0,90","14.221,00","0,77",Cammeo
"14.870,00","506,56","214,93","89,40","0,91","15.202,00","0,58",Cammeo
"14.263,00","490,75","203,78","90,27","0,90","14.779,00","0,73",Cammeo
"13.954,00","481,29","204,78","87,50","0,90","14.277,00","0,58",Cammeo
"13.425,00","477,20","199,76","86,64","0,90","13.784,00","0,61",Cammeo
"14.057,00","463,14","189,79","95,09","0,87","14.259,00","0,63",Cammeo
"17.198,00","520,99","209,97","105,67","0,86","17.586,00","0,61",Cammeo
"14.675,00","493,93","199,23","95,68","0,88","15.317,00","0,62",Cammeo
"12.291,00","440,96","186,19","84,68","0,89","12.476,00","0,73",Cammeo
"15.072,00","487,58","202,49","95,36","0,88","15.267,00","0,79",Cammeo
"16.390,00","502,68","207,05","101,52","0,87","16.635,00","0,71",Cammeo
"13.142,00","464,65","194,74","86,59","0,90","13.406,00","0,66",Cammeo
"12.759,00","463,64","200,96","81,21","0,91","12.993,00","0,78",Cammeo
"16.944,00","543,13","236,13","92,68","0,92","17.189,00","0,65",Cammeo
"15.510,00","507,32","215,95","92,47","0,90","15.862,00","0,60",Cammeo
"12.859,00","445,01","184,31","89,47","0,87","13.030,00","0,71",Cammeo
"14.470,00","486,26","208,33","89,34","0,90","14.657,00","0,58",Cammeo
"17.079,00","520,45","216,16","101,76","0,88","17.418,00","0,79",Cammeo
"13.858,00","475,96","205,87","86,04","0,91","14.042,00","0,65",Cammeo
"12.324,00","449,15","190,39","83,21","0,90","12.595,00","0,77",Cammeo
"17.263,00","520,30","215,00","103,37","0,88","17.565,00","0,66",Cammeo
"16.079,00","522,76","223,41","92,64","0,91","16.392,00","0,64",Cammeo
"14.806,00","481,91","198,24","95,79","0,88","15.162,00","0,70",Cammeo
"14.957,00","505,12","213,05","90,71","0,90","15.347,00","0,65",Cammeo
"15.460,00","507,08","213,57","93,56","0,90","15.819,00","0,58",Cammeo
"12.716,00","444,11","186,90","87,28","0,88","12.872,00","0,75",Cammeo
"16.798,00","529,08","222,80","97,68","0,90","17.173,00","0,64",Cammeo
"14.015,00","475,72","195,32","92,48","0,88","14.492,00","0,75",Cammeo
"14.927,00","502,02","212,03","90,82","0,90","15.392,00","0,59",Cammeo
"15.158,00","513,73","218,82","89,37","0,91","15.591,00","0,70",Cammeo
"14.676,00","481,63","202,40","92,95","0,89","14.936,00","0,65",Cammeo
"15.094,00","513,92","224,72","86,44","0,92","15.292,00","0,79",Cammeo
"18.913,00","541,75","227,14","106,95","0,88","19.099,00","0,80",Cammeo
"14.013,00","480,83","191,85","94,88","0,87","14.622,00","0,63",Cammeo
"16.176,00","522,99","221,93","93,98","0,91","16.639,00","0,60",Cammeo
"15.904,00","511,02","214,35","96,21","0,89","16.248,00","0,72",Cammeo
"16.580,00","530,09","226,44","94,47","0,91","16.928,00","0,60",Cammeo
"15.915,00","528,16","231,59","88,57","0,92","16.251,00","0,81",Cammeo
"15.007,00","500,31","210,72","92,17","0,90","15.431,00","0,58",Cammeo
"14.892,00","486,33","203,07","94,12","0,89","15.111,00","0,79",Cammeo
"12.239,00","473,51","208,05","75,61","0,93","12.622,00","0,52",Cammeo
"17.335,00","544,09","239,01","92,99","0,92","17.526,00","0,82",Cammeo
"16.788,00","533,49","230,13","93,76","0,91","17.041,00","0,57",Cammeo
"14.968,00","514,80","220,22","87,74","0,92","15.438,00","0,74",Cammeo
"17.425,00","541,80","232,06","96,44","0,91","17.758,00","0,70",Cammeo
"16.570,00","519,12","221,01","96,23","0,90","16.757,00","0,59",Cammeo
"13.352,00","514,49","232,48","73,99","0,95","13.585,00","0,59",Cammeo
"14.824,00","513,22","220,16","86,81","0,92","15.150,00","0,57",Cammeo
"15.786,00","500,86","205,47","98,82","0,88","16.127,00","0,61",Cammeo
"14.571,00","489,43","206,79","90,45","0,90","14.839,00","0,61",Cammeo
"14.601,00","476,23","192,61","97,93","0,86","14.815,00","0,63",Cammeo
"15.581,00","517,33","221,96","90,31","0,91","15.901,00","0,55",Cammeo
"12.930,00","474,08","205,36","80,71","0,92","13.181,00","0,74",Cammeo
"16.505,00","506,90","207,35","103,24","0,87","16.782,00","0,78",Cammeo
"16.006,00","528,18","222,67","93,10","0,91","16.466,00","0,61",Cammeo
"14.477,00","499,47","217,11","85,79","0,92","14.726,00","0,58",Cammeo
"15.071,00","494,14","200,59","97,39","0,87","15.575,00","0,69",Cammeo
"14.181,00","485,24","206,86","87,94","0,91","14.423,00","0,65",Cammeo
"13.680,00","473,09","194,94","91,23","0,88","14.077,00","0,78",Cammeo
"15.551,00","515,78","215,09","93,75","0,90","15.908,00","0,57",Cammeo
"16.865,00","517,75","210,48","103,80","0,87","17.234,00","0,65",Cammeo
"16.258,00","533,34","229,11","91,12","0,92","16.705,00","0,57",Cammeo
"15.133,00","503,22","216,58","89,48","0,91","15.359,00","0,59",Cammeo
"15.742,00","499,98","209,39","96,46","0,89","15.950,00","0,76",Cammeo
"12.181,00","456,94","194,86","80,28","0,91","12.489,00","0,58",Cammeo
"16.679,00","528,55","222,78","96,64","0,90","17.006,00","0,57",Cammeo
"16.862,00","519,47","219,66","98,39","0,89","17.104,00","0,61",Cammeo
"13.013,00","470,96","197,69","84,81","0,90","13.376,00","0,58",Cammeo
"15.042,00","502,21","212,09","91,29","0,90","15.416,00","0,70",Cammeo
"15.486,00","492,69","204,37","97,68","0,88","15.688,00","0,60",Cammeo
"13.109,00","484,99","204,73","82,85","0,91","13.497,00","0,53",Cammeo
"14.759,00","493,80","207,78","91,69","0,90","15.106,00","0,71",Cammeo
"11.396,00","446,28","192,23","76,53","0,92","11.692,00","0,65",Cammeo
"14.324,00","487,25","195,95","94,84","0,88","14.822,00","0,76",Cammeo
"14.850,00","500,30","213,08","89,35","0,91","15.124,00","0,58",Cammeo
"13.909,00","475,62","199,61","89,94","0,89","14.241,00","0,73",Cammeo
"15.454,00","500,90","208,54","95,32","0,89","15.773,00","0,58",Cammeo
"14.938,00","502,69","209,64","92,04","0,90","15.331,00","0,64",Cammeo
"11.966,00","456,85","194,27","79,35","0,91","12.337,00","0,57",Cammeo
"15.644,00","501,11","210,36","95,28","0,89","15.858,00","0,79",Cammeo
"15.552,00","492,98","198,21","101,64","0,86","15.936,00","0,63",Cammeo
"15.807,00","513,51","219,30","92,30","0,91","16.078,00","0,78",Cammeo
"13.824,00","491,62","206,39","86,85","0,91","14.268,00","0,63",Cammeo
"13.282,00","470,26","199,71","85,10","0,90","13.513,00","0,67",Cammeo
"14.332,00","497,14","206,55","90,76","0,90","14.830,00","0,57",Cammeo
"13.779,00","481,98","200,48","88,85","0,90","14.192,00","0,57",Cammeo
"13.644,00","473,18","200,29","87,84","0,90","13.859,00","0,68",Cammeo
"13.809,00","489,02","213,83","82,49","0,92","14.070,00","0,81",Cammeo
"13.726,00","484,25","209,70","83,88","0,92","13.969,00","0,56",Cammeo
"14.266,00","486,48","207,73","88,10","0,91","14.485,00","0,60",Cammeo
"13.200,00","477,85","202,60","83,69","0,91","13.585,00","0,64",Cammeo
"16.146,00","509,33","213,62","96,65","0,89","16.404,00","0,60",Cammeo
"12.820,00","459,17","193,71","84,83","0,90","13.002,00","0,60",Cammeo
"12.575,00","456,75","188,68","85,98","0,89","12.936,00","0,74",Cammeo
"14.057,00","483,48","201,57","89,91","0,90","14.388,00","0,57",Cammeo
"14.305,00","490,18","206,88","88,68","0,90","14.695,00","0,65",Cammeo
"12.626,00","455,30","188,66","86,60","0,89","12.911,00","0,73",Cammeo
"15.655,00","488,90","199,56","101,03","0,86","15.880,00","0,63",Cammeo
"11.797,00","451,96","195,59","77,40","0,92","11.988,00","0,57",Cammeo
"15.199,00","489,54","205,32","94,81","0,89","15.419,00","0,76",Cammeo
"12.921,00","477,12","197,70","84,83","0,90","13.557,00","0,72",Cammeo
"13.724,00","468,57","191,87","92,49","0,88","14.048,00","0,74",Cammeo
"13.520,00","471,53","195,31","89,44","0,89","13.950,00","0,57",Cammeo
"14.261,00","496,36","208,85","88,24","0,91","14.763,00","0,70",Cammeo
"13.567,00","481,10","206,63","84,01","0,91","13.818,00","0,60",Cammeo
"14.850,00","499,21","210,13","91,14","0,90","15.327,00","0,59",Cammeo
"15.522,00","507,24","213,68","94,90","0,90","15.782,00","0,78",Cammeo
"13.241,00","466,99","193,54","88,06","0,89","13.577,00","0,58",Cammeo
"16.063,00","520,74","217,91","95,20","0,90","16.561,00","0,56",Cammeo
"13.494,00","479,45","203,03","85,75","0,91","13.842,00","0,77",Cammeo
"15.569,00","504,75","214,51","93,20","0,90","15.815,00","0,77",Cammeo
"13.621,00","477,54","200,96","87,29","0,90","13.956,00","0,80",Cammeo
"13.875,00","490,84","207,13","87,33","0,91","14.243,00","0,58",Cammeo
"14.265,00","480,93","200,19","91,48","0,89","14.627,00","0,75",Cammeo
"12.612,00","463,60","197,68","82,38","0,91","12.919,00","0,58",Cammeo
"13.268,00","473,43","200,70","84,70","0,91","13.562,00","0,72",Cammeo
"14.910,00","511,60","221,61","86,22","0,92","15.215,00","0,70",Cammeo
"14.146,00","504,36","214,06","85,74","0,92","14.716,00","0,63",Cammeo
"13.568,00","484,65","208,07","83,70","0,92","13.962,00","0,79",Cammeo
"14.212,00","484,95","205,00","89,62","0,90","14.502,00","0,75",Cammeo
"14.458,00","475,04","196,99","94,00","0,88","14.669,00","0,60",Cammeo
"12.734,00","470,61","204,40","80,17","0,92","12.982,00","0,71",Cammeo
"14.753,00","489,54","207,47","92,01","0,90","14.984,00","0,80",Cammeo
"13.901,00","478,85","200,44","89,34","0,90","14.232,00","0,57",Cammeo
"14.819,00","496,62","205,99","92,83","0,89","15.194,00","0,73",Cammeo
"12.006,00","467,64","207,45","74,47","0,93","12.237,00","0,55",Cammeo
"15.344,00","501,80","212,42","92,96","0,90","15.604,00","0,79",Cammeo
"12.450,00","456,22","191,14","84,21","0,90","12.740,00","0,57",Cammeo
"12.817,00","460,55","191,19","86,31","0,89","13.132,00","0,60",Cammeo
"14.908,00","499,47","209,12","92,06","0,90","15.324,00","0,76",Cammeo
"14.980,00","503,82","214,19","89,89","0,91","15.361,00","0,74",Cammeo
"15.213,00","495,42","206,30","94,53","0,89","15.516,00","0,70",Cammeo
"12.899,00","472,26","205,52","80,43","0,92","13.107,00","0,59",Cammeo
"13.263,00","487,89","214,43","79,64","0,93","13.491,00","0,67",Cammeo
"13.988,00","491,49","208,36","86,78","0,91","14.427,00","0,61",Cammeo
"13.181,00","470,39","199,47","84,91","0,90","13.429,00","0,73",Cammeo
"12.220,00","465,69","200,17","79,04","0,92","12.588,00","0,57",Cammeo
"13.834,00","480,27","202,77","87,72","0,90","14.151,00","0,73",Cammeo
"16.249,00","512,79","215,73","96,97","0,89","16.493,00","0,74",Cammeo
"11.993,00","444,57","187,18","82,64","0,90","12.276,00","0,59",Cammeo
"14.313,00","482,98","204,72","89,79","0,90","14.622,00","0,57",Cammeo
"14.563,00","496,78","206,13","91,53","0,90","15.116,00","0,59",Cammeo
"14.176,00","513,15","220,04","83,43","0,93","14.675,00","0,54",Cammeo
"14.041,00","491,66","212,86","84,57","0,92","14.289,00","0,79",Cammeo
"13.022,00","467,08","194,75","86,68","0,90","13.355,00","0,60",Cammeo
